+0000000 -0000000 Africa/Abidjan
+0000000 -0000000 Africa/Accra
+0000000 -0000000 Africa/Addis_Ababa
+0000000 -0000000 Africa/Algiers
+0000000 -0000000 Africa/Asmara
+0000000 -0000000 Africa/Asmera
+0000000 -0000000 Africa/Bamako
+0000000 -0000000 Africa/Bangui
+0000000 -0000000 Africa/Banjul
+0000000 -0000000 Africa/Bissau
+0000000 -0000000 Africa/Blantyre
+0000000 -0000000 Africa/Brazzaville
+0000000 -0000000 Africa/Bujumbura
+0000000 -0000000 Africa/Cairo
+0000000 -0000000 Africa/Casablanca
+0000000 -0000000 Africa/Ceuta
+0000000 -0000000 Africa/Conakry
+0000000 -0000000 Africa/Dakar
+0000000 -0000000 Africa/Dar_es_Salaam
+0000000 -0000000 Africa/Djibouti
+0000000 -0000000 Africa/Douala
+0000000 -0000000 Africa/El_Aaiun
+0000000 -0000000 Africa/Freetown
+0000000 -0000000 Africa/Gaborone
+0000000 -0000000 Africa/Harare
+0000000 -0000000 Africa/Johannesburg
+0000000 -0000000 Africa/Kampala
+0000000 -0000000 Africa/Khartoum
+0000000 -0000000 Africa/Kigali
+0000000 -0000000 Africa/Kinshasa
+0000000 -0000000 Africa/Lagos
+0000000 -0000000 Africa/Libreville
+0000000 -0000000 Africa/Lome
+0000000 -0000000 Africa/Luanda
+0000000 -0000000 Africa/Lubumbashi
+0000000 -0000000 Africa/Lusaka
+0000000 -0000000 Africa/Malabo
+0000000 -0000000 Africa/Maputo
+0000000 -0000000 Africa/Maseru
+0000000 -0000000 Africa/Mbabane
+0000000 -0000000 Africa/Mogadishu
+0000000 -0000000 Africa/Monrovia
+0000000 -0000000 Africa/Nairobi
+0000000 -0000000 Africa/Ndjamena
+0000000 -0000000 Africa/Niamey
+0000000 -0000000 Africa/Nouakchott
+0000000 -0000000 Africa/Ouagadougou
+0000000 -0000000 Africa/Porto-Novo
+0000000 -0000000 Africa/Sao_Tome
+0000000 -0000000 Africa/Timbuktu
+0000000 -0000000 Africa/Tripoli
+0000000 -0000000 Africa/Tunis
